Colony,Day,t,h
BP1,2019-03-01,18.319,83.074
BP1,2019-03-02,20.984,81.206
BP1,2019-03-03,21.748,76.899
BP1,2019-03-04,22.082,78.919
BP1,2019-03-05,26.818,72.47
BP1,2019-03-06,23.617,79.926
BP1,2019-03-07,25.355,78.451
BP1,2019-03-08,25.137,86.503
BP1,2019-03-09,23.785,90.206
BP1,2019-03-10,21.199,89.532
BP1,2019-03-11,20.293,87.923
BP1,2019-03-12,21.056,89.584
BP1,2019-03-13,22.609,91.125
BP1,2019-03-14,21.987,87.747
BP1,2019-03-15,19.508,86.016
BP1,2019-03-16,21.772,85.275
BP1,2019-03-17,24.05,89.346
BP1,2019-03-18,24.508,90.02
BP1,2019-03-19,22.824,89.962
BP1,2019-03-20,21.318,90.575
BP1,2019-03-21,19.746,89.583
BP1,2019-03-22,16.249,89.724
BP1,2019-03-23,18.081,87.705
BP1,2019-03-24,18.271,85.045
BP1,2019-03-25,20.222,84.569
BP1,2019-03-26,16.534,83.882
BP1,2019-03-27,18.889,83.119
BP1,2019-03-28,19.912,83.413
BP1,2019-03-29,19.436,83.411
BP1,2019-03-30,22.729,74.385
BP1,2019-03-31,23.761,81.739
BP2,2019-03-01,18.414,90.698
BP2,2019-03-02,21.294,89.388
BP2,2019-03-03,21.246,87.52
BP2,2019-03-04,21.652,84.349
BP2,2019-03-05,26.744,77.195
BP2,2019-03-06,23.208,84.185
BP2,2019-03-07,25.04,85.827
BP2,2019-03-08,24.823,86.731
BP2,2019-03-09,23.232,91.273
BP2,2019-03-10,20.984,93.003
BP2,2019-03-11,20.079,91.771
BP2,2019-03-12,20.889,92.66
BP2,2019-03-13,22.345,92.845
BP2,2019-03-14,21.963,94.532
BP2,2019-03-15,19.413,91.441
BP2,2019-03-16,21.27,91.584
BP2,2019-03-17,23.016,93.408
BP2,2019-03-18,24.002,94.28
BP2,2019-03-19,22.202,95.17
BP2,2019-03-20,20.793,93.478
BP2,2019-03-21,19.056,95.038
BP2,2019-03-22,15.27,95.392
BP2,2019-03-23,17.391,96.029
BP2,2019-03-24,17.272,94.87
BP2,2019-03-25,19.318,91.518
BP2,2019-03-26,15.031,92.088
BP2,2019-03-27,17.415,93.069
BP2,2019-03-28,18.533,93.605
BP2,2019-03-29,18.295,92.887
BP2,2019-03-30,22.178,87.957
BP2,2019-03-31,22.8,85.762
BP4,2019-03-01,18.344,83.886
BP4,2019-03-02,21.013,82
BP4,2019-03-03,21.778,77.651
BP4,2019-03-04,22.112,79.691
BP4,2019-03-05,26.855,73.179
BP4,2019-03-06,23.65,80.708
BP4,2019-03-07,25.39,79.218
BP4,2019-03-08,25.172,87.349
BP4,2019-03-09,23.818,91.088
BP4,2019-03-10,21.228,90.407
BP4,2019-03-11,20.321,88.783
BP4,2019-03-12,21.085,90.46
BP4,2019-03-13,22.64,92.016
BP4,2019-03-14,22.017,88.605
BP4,2019-03-15,19.535,86.857
BP4,2019-03-16,21.802,86.109
BP4,2019-03-17,24.083,90.22
BP4,2019-03-18,24.542,90.9
BP4,2019-03-19,22.855,90.842
BP4,2019-03-20,21.347,91.461
BP4,2019-03-21,19.773,90.459
BP4,2019-03-22,16.271,90.601
BP4,2019-03-23,18.106,88.563
BP4,2019-03-24,18.296,85.877
BP4,2019-03-25,20.25,85.396
BP4,2019-03-26,16.557,84.702
BP4,2019-03-27,18.915,83.932
BP4,2019-03-28,19.939,84.229
BP4,2019-03-29,19.463,84.227
BP4,2019-03-30,22.76,75.112
BP4,2019-03-31,23.794,82.538
PA1,2019-03-01,19.27,88.148
PA1,2019-03-02,21.891,87.308
PA1,2019-03-03,23.761,84.47
PA1,2019-03-04,23.256,85.784
PA1,2019-03-05,25.283,83.003
PA1,2019-03-06,22.944,86.17
PA1,2019-03-07,23.881,87.242
PA1,2019-03-08,25.331,85.138
PA1,2019-03-09,23.905,87.541
PA1,2019-03-10,20.484,88.247
PA1,2019-03-11,19.199,86.038
PA1,2019-03-12,20.936,85.933
PA1,2019-03-13,23.665,87.394
PA1,2019-03-14,21.843,87.286
PA1,2019-03-15,21.246,85.098
PA1,2019-03-16,22.657,85.613
PA1,2019-03-17,24.339,86.883
PA1,2019-03-18,23.809,88.938
PA1,2019-03-19,23.713,89.503
PA1,2019-03-20,21.175,86.677
PA1,2019-03-21,17.986,86.572
PA1,2019-03-22,16.725,85.81
PA1,2019-03-23,18.937,85.711
PA1,2019-03-24,19.436,86.48
PA1,2019-03-25,20.603,79.788
PA1,2019-03-26,19.389,80.532
PA1,2019-03-27,19.579,83.562
PA1,2019-03-28,20.627,86.155
PA1,2019-03-29,22.417,85.169
PA1,2019-03-30,20.293,84.861
PA1,2019-03-31,22.992,86.29
PA2,2019-03-01,17.796,93.819
PA2,2019-03-02,20.198,95.541
PA2,2019-03-03,22.226,94.351
PA2,2019-03-04,21.27,98.006
PA2,2019-03-05,23.761,90.615
PA2,2019-03-06,21.294,92.187
PA2,2019-03-07,22.274,95.157
PA2,2019-03-08,24.291,92.378
PA2,2019-03-09,21.748,94.7
PA2,2019-03-10,19.008,96.703
PA2,2019-03-11,17.391,97.449
PA2,2019-03-12,19.222,97.506
PA2,2019-03-13,22.106,96.048
PA2,2019-03-14,20.222,92.633
PA2,2019-03-15,19.555,91.28
PA2,2019-03-16,21.175,88.433
PA2,2019-03-17,22.609,90.523
PA2,2019-03-18,22.25,92.619
PA2,2019-03-19,22.321,93.132
PA2,2019-03-20,19.698,91.846
PA2,2019-03-21,16.153,92.247
PA2,2019-03-22,12.968,93.299
PA2,2019-03-23,16.463,93.557
PA2,2019-03-24,16.773,93.332
PA2,2019-03-25,18.771,87.101
PA2,2019-03-26,16.415,88.343
PA2,2019-03-27,17.058,90.988
PA2,2019-03-28,18.913,92.059
PA2,2019-03-29,20.507,91.481
PA2,2019-03-30,18.366,91.194
PA2,2019-03-31,21.342,90.741
PA5,2019-03-01,18.414,90.636
PA5,2019-03-02,20.841,89.544
PA5,2019-03-03,22.992,87.57
PA5,2019-03-04,22.226,90.134
PA5,2019-03-05,24.388,86.644
PA5,2019-03-06,21.772,89.378
PA5,2019-03-07,22.992,89.96
PA5,2019-03-08,24.75,89.048
PA5,2019-03-09,22.657,91.797
PA5,2019-03-10,19.984,92.391
PA5,2019-03-11,18.414,90.954
PA5,2019-03-12,20.222,93.059
PA5,2019-03-13,22.681,92.59
PA5,2019-03-14,20.746,92.928
PA5,2019-03-15,20.031,91.57
PA5,2019-03-16,21.819,91.723
PA5,2019-03-17,23.328,91.623
PA5,2019-03-18,22.92,94.168
PA5,2019-03-19,23.016,95.107
PA5,2019-03-20,20.222,91.928
PA5,2019-03-21,16.749,92.937
PA5,2019-03-22,14.002,94.567
PA5,2019-03-23,17.368,93.775
PA5,2019-03-24,17.653,93.309
PA5,2019-03-25,19.579,86.446
PA5,2019-03-26,17.51,88.996
PA5,2019-03-27,17.843,90.09
PA5,2019-03-28,19.056,91.083
PA5,2019-03-29,20.936,91.112
PA5,2019-03-30,18.747,89.694
PA5,2019-03-31,21.772,87.994
