Month,Weight
APR,0.0695
APR,0.0611
APR,0.0679
APR,0.0635
APR,0.0751
DEC,0.0594
DEC,0.0642
DEC,0.0642
DEC,0.0648
DEC,0.0493
FEB,0.0716
FEB,0.0679
FEB,0.0664
FEB,0.0731
FEB,0.0789
JAN,0.0694
JAN,0.0744
JAN,0.0573
JAN,0.0743
JAN,0.0716
MAR,0.0619
MAR,0.0633
MAR,0.065
MAR,0.0649
MAR,0.0613
MAY,0.0689
MAY,0.0588
MAY,0.0695
MAY,0.0708
MAY,0.0674
APR,0.0644
APR,0.0663
APR,0.0625
APR,0.0547
APR,0.0608
DEC,0.0588
DEC,0.0798
DEC,0.0678
DEC,0.066
DEC,0.0718
FEB,0.075
FEB,0.081
FEB,0.0657
FEB,0.0746
FEB,0.079
JAN,0.0792
JAN,0.0655
JAN,0.0789
JAN,0.0736
JAN,0.0694
MAR,0.068
MAR,0.067
MAR,0.0592
MAR,0.0574
MAR,0.0671
MAY,0.0557
MAY,0.0668
MAY,0.0711
MAY,0.0635
MAY,0.0544
APR,0.0647
APR,0.0681
APR,0.0624
APR,0.0581
APR,0.0567
DEC,0.0683
DEC,0.0681
DEC,0.0694
DEC,0.0655
DEC,0.0707
FEB,0.0715
FEB,0.0776
FEB,0.0776
FEB,0.0706
FEB,0.0726
JAN,0.0956
JAN,0.0691
JAN,0.0849
JAN,0.0811
JAN,0.0717
MAR,0.0588
MAR,0.056
MAR,0.0567
MAR,0.0597
MAR,0.0593
MAY,0.0554
MAY,0.0551
MAY,0.0665
MAY,0.0684
MAY,0.0629
APR,0.0686
APR,0.0688
APR,0.0652
APR,0.0558
APR,0.0652
DEC,0.0611
DEC,0.0736
DEC,0.0747
DEC,0.0812
DEC,0.0725
FEB,0.0633
FEB,0.0718
FEB,0.0707
FEB,0.0755
FEB,0.0635
JAN,0.0669
JAN,0.0711
JAN,0.0617
JAN,0.0787
JAN,0.0716
MAR,0.0626
MAR,0.0608
MAR,0.0712
MAR,0.0668
MAR,0.065
MAY,0.0764
MAY,0.076
MAY,0.0806
MAY,0.0757
MAY,0.07
APR,0.0657
APR,0.0606
APR,0.0591
APR,0.0666
APR,0.0717
DEC,0.072
DEC,0.0756
DEC,0.0654
DEC,0.0774
DEC,0.0801
FEB,0.0726
FEB,0.0744
FEB,0.0715
FEB,0.0692
FEB,0.0625
JAN,0.0841
JAN,0.0764
JAN,0.0736
JAN,0.0802
JAN,0.0833
MAR,0.0633
MAR,0.0622
MAR,0.0615
MAR,0.0697
MAR,0.0753
MAY,0.0806
MAY,0.0757
MAY,0.0721
MAY,0.0652
MAY,0.0695
APR,0.0577
APR,0.0688
APR,0.0728
APR,0.0862
APR,0.0713
DEC,0.0645
DEC,0.0655
DEC,0.0601
DEC,0.0785
DEC,0.0633
FEB,0.0674
FEB,0.0874
FEB,0.0633
FEB,0.0715
FEB,0.0695
JAN,0.0701
JAN,0.0657
JAN,0.0672
JAN,0.0655
JAN,0.0717
MAR,0.0684
MAR,0.0628
MAR,0.0458
MAR,0.0635
MAR,0.0659
MAY,0.0676
MAY,0.0667
MAY,0.0698
MAY,0.078
MAY,0.0655
